Year,Fuel_S0_ML
2025,40.75636287465226
2026,40.787651952375256
2027,40.787651952375256
2028,40.787651952375256
2029,40.787651952375256
2030,40.787651952375256
2031,40.787651952375256
2032,40.787651952375256
2033,40.787651952375256
2034,40.787651952375256
2035,40.787651952375256
2036,40.787651952375256
2037,40.787651952375256
2038,40.787651952375256
2039,40.787651952375256
2040,40.787651952375256
2041,40.787651952375256
2042,40.787651952375256
2043,40.787651952375256
2044,40.787651952375256
2045,40.787651952375256
2046,40.787651952375256
2047,40.787651952375256
2048,40.787651952375256
2049,40.787651952375256
2050,40.787651952375256
